[SPHERE] radius = 0.0012714560254376561 | density = 0.13768858601176814 | surface_area = 2.0314800071126963e-05
[TETRAHEDRON] side = 0.004354807579176279 | density = 0.35955340803330627 | surface_area = 3.284721608993046e-05
[TETRAHEDRON] side = 0.005938507387826197 | density = 0.7372317839643763 | surface_area = 6.108227860492008e-05
[TETRAHEDRON] side = 0.006570236616930236 | density = 0.6984807858169496 | surface_area = 7.476918520024577e-05
[TETRAHEDRON] side = 0.006745354664422165 | density = 0.10165535337066012 | surface_area = 7.880798187330165e-05
[TETRAHEDRON] side = 0.007267547359654736 | density = 0.49690981704366866 | surface_area = 9.148215120599025e-05
[TETRAHEDRON] side = 0.011137406887353318 | density = 0.19088193145337728 | surface_area = 0.00021484675559010547
[SPHERE] radius = 0.0041545930340657344 | density = 0.5341329451851848 | surface_area = 0.0002169036404824864
[TETRAHEDRON] side = 0.011992530588798123 | density = 0.5554304346625732 | surface_area = 0.00024910491533177396
[SPHERE] radius = 0.004601763650373458 | density = 0.3087566966922528 | surface_area = 0.00026610833798195507
[TETRAHEDRON] side = 0.015725626085294486 | density = 0.32264914919241594 | surface_area = 0.00042832805139521356
[SPHERE] radius = 0.005925132005253131 | density = 0.6528079296722751 | surface_area = 0.00044116995171685316
[SPHERE] radius = 0.006339874686822511 | density = 0.028283533392173155 | surface_area = 0.0005050928392642507
[TETRAHEDRON] side = 0.017418961838622682 | density = 0.2587109271058835 | surface_area = 0.0005255392570636137
[TETRAHEDRON] side = 0.02187704752614772 | density = 0.24714030263811448 | surface_area = 0.0008289685378221107
[TETRAHEDRON] side = 0.024404063333912318 | density = 0.4470815293696454 | surface_area = 0.001031537246949819
[TETRAHEDRON] side = 0.025315089254277612 | density = 0.5673206713216714 | surface_area = 0.0011099912447456726
[SPHERE] radius = 0.00966567308094124 | density = 0.6874435598987908 | surface_area = 0.0011740161416625157
[TETRAHEDRON] side = 0.0282420743486681 | density = 0.46934664356901545 | surface_area = 0.0013815092952762216
[TETRAHEDRON] side = 0.030325830288363664 | density = 0.795282740001055 | surface_area = 0.001592890887484079
[SPHERE] radius = 0.011548243707811823 | density = 0.6869562301369551 | surface_area = 0.0016758754725954416
[SPHERE] radius = 0.012886440558181333 | density = 0.12300561363193452 | surface_area = 0.0020867759057116857
[TETRAHEDRON] side = 0.036213084262282424 | density = 0.4732467943140518 | surface_area = 0.0022713897295446707
[SPHERE] radius = 0.013687068039342831 | density = 0.3202877595838288 | surface_area = 0.002354131488149044
[TETRAHEDRON] side = 0.04022531192095857 | density = 0.12948807974559184 | surface_area = 0.002802589356041278
[TETRAHEDRON] side = 0.04038851397014254 | density = 0.212410617646289 | surface_area = 0.0028253768080960823
[TETRAHEDRON] side = 0.042928847253019486 | density = 0.9477427656651017 | surface_area = 0.003191972057205014
[TETRAHEDRON] side = 0.04557715671311291 | density = 0.2558958441092015 | surface_area = 0.0035979496761425933
[SPHERE] radius = 0.017009300914445302 | density = 0.3761620796264491 | surface_area = 0.003635656071719995
[TETRAHEDRON] side = 0.04657580253234439 | density = 0.6187889653968676 | surface_area = 0.003757347137945905
[SPHERE] radius = 0.017680967688905036 | density = 0.5475176573785441 | surface_area = 0.003928456287224462
[SPHERE] radius = 0.017903450487775197 | density = 0.5721536254520411 | surface_area = 0.004027943250033313
[TETRAHEDRON] side = 0.0523740570002329 | density = 0.7561593305498815 | surface_area = 0.00475108784570899
[TETRAHEDRON] side = 0.05455692326357564 | density = 0.11396731679578564 | surface_area = 0.005155376267799208
[TETRAHEDRON] side = 0.05720491870339239 | density = 0.628685065771631 | surface_area = 0.005667967780555308
[SPHERE] radius = 0.022836960534957762 | density = 0.521985839142833 | surface_area = 0.006553698632835941
[TETRAHEDRON] side = 0.06165952468974889 | density = 0.5828674170992513 | surface_area = 0.006585078743103612
[TETRAHEDRON] side = 0.06448272020613743 | density = 0.7391823102764855 | surface_area = 0.00720190398632574
[TETRAHEDRON] side = 0.0662431067584679 | density = 0.012780908156934001 | surface_area = 0.007600497353492226
[TETRAHEDRON] side = 0.06785590401368724 | density = 0.41739043772116335 | surface_area = 0.007975095804454284
[TETRAHEDRON] side = 0.06877799857858025 | density = 0.04490376435545762 | surface_area = 0.008193315810027833
[TETRAHEDRON] side = 0.07297875330555614 | density = 0.18060291589847544 | surface_area = 0.00922472668369706
[TETRAHEDRON] side = 0.07588784806895488 | density = 0.9357887316393438 | surface_area = 0.009974820818253217
[SPHERE] radius = 0.028174419004987628 | density = 0.6579875986818348 | surface_area = 0.00997515843174626
[TETRAHEDRON] side = 0.07712633663024471 | density = 0.7295591525355783 | surface_area = 0.010303055388457957
[TETRAHEDRON] side = 0.07734453936609043 | density = 0.43098880697403885 | surface_area = 0.010361435837120769
[PARALLELEPIPED] width = 0.0359438641601193 | length = 0.0650564473341656 | height = 0.031005385781661787 | density = 0.04234783319969293 | surface_area = 0.010939867455335033
